id,priority,category,type,citation,why_use,suggested_section,url
12,보조,공공행정 AI·챗봇,논문,"Zhu, X. (2026). Public administration with, of, and through AI: toward a new paradigm in the era of intelligence. Journal of Chinese Governance, 11(1), 30–57.",AI 시대 공공행정 패러다임 전환을 이론화. 결론부에서 확장적 시야 제시에 적합.,결론 / 패러다임 전환,https://www.tandfonline.com/doi/full/10.1080/23812346.2025.2578589
13,보조,공공행정 AI·챗봇,논문,"Riccio, G. (2025). Generative artificial intelligence in public administration: an integrated framework for regulatory compliance, ethical governance, and digital transformation. In Ital-IA 2025 Proceedings.",규제준수·윤리·디지털 전환을 통합한 공공행정 GenAI 프레임을 제시. 제도적 통제 설계에 참고 가능.,정책제안 / 통제체계,https://ceur-ws.org/Vol-4121/Ital-IA_2025_paper_3.pdf
14,보조,공공행정 AI·챗봇,논문,"Porumbescu, G., Young, M., & Yang, K. (2025). Introduction to Special Issue on Generative AI and Public Administration: Performance, Accountability, and Democratic Governance. Public Performance & Management Review, 48(6), 1263–1267.",생성형 AI와 공공행정의 핵심 쟁점을 압축적으로 보여주는 특집 서문. 배경 정리용.,서론 / 연구배경,https://www.tandfonline.com/doi/full/10.1080/15309576.2025.2570315
15,핵심,지식관리·조직기억,논문,"Massaro, M., Dumay, J., & Garlatti, A. (2015). Public sector knowledge management: a structured literature review. Journal of Knowledge Management, 19(3), 530–558.",공공부문 KM 연구를 체계적으로 정리한 고전적 기반 문헌. 조직기억·지식단절 논리의 출발점.,선행연구 / 지식관리,https://www.emerald.com/jkm/article/19/3/530/259388/Public-sector-knowledge-management-a-structured
16,핵심,지식관리·조직기억,논문,"Adobor, H., Kudonoo, E. C., & Daneshfar, A. (2019). Knowledge management capability and organizational memory: a study of public sector agencies. International Journal of Public Sector Management, 32(6), 671–687.",공공기관에서 KM 역량과 조직기억의 관계를 다룸. 보직 순환과 조직기억 문제 연결에 적합.,문제분석 / 연속성·조직기억,https://www.emerald.com/ijpsm/article-split/32/6/671/151835/Knowledge-management-capability-and-organizational
17,중요,지식관리·조직기억,논문,"Galan, N. (2023). Knowledge loss induced by organizational member turnover: a review of empirical literature, synthesis and future research directions (Part I). The Learning Organization, 30(2), 117–136.",인사이동·이직이 지식손실을 어떻게 만드는지 정리. 군 보직순환 문제를 일반화하는 데 유용.,문제분석 / 인사이동과 지식손실,https://www.emerald.com/tlo/article/30/2/117/379749/Knowledge-loss-induced-by-organizational-member
18,중요,지식관리·조직기억,논문,"Daghfous, A., Amer, N. T., Belkhodja, O., Angell, L. C., & Zoubi, T. (2023). Managing knowledge loss: a systematic literature review and future research directions. Journal of Enterprise Information Management, 36(4), 1008–1031.",지식손실 완화 전략을 폭넓게 다룬 체계적 문헌고찰. RAG 시스템을 예방적 지식보존 장치로 설명하기 좋음.,정책제안 / 지식보존 전략,https://www.emerald.com/jeim/article/36/4/1008/201212/Managing-knowledge-loss-a-systematic-literature
19,중요,지식관리·조직기억,논문,"Stavick, J. (2024). Organizational Memory and Snap Back Performance in Public Agencies. The American Review of Public Administration, 55(2), 175–191.",공공기관 성과와 조직기억의 관계를 경험적으로 보여줌. 비정기적·예외적 업무 대응력 논거로 적합.,기대효과 / 정책결정 근거와 대응력,https://journals.sagepub.com/doi/10.1177/02750740241305625
20,중요,지식관리·조직기억,논문,"Smaliukienė, R., & Giedraitytė, V. (2018). Research Trends in Knowledge Management in Military. Challenges to National Defence in Contemporary Geopolitical Situation, 2018(1), 142–147.",군 조직의 지식관리 연구 흐름을 직접 다룬 드문 문헌. 논문의 군 적용 정당화에 중요.,선행연구 / 군 조직 지식관리,https://journals.lka.lt/journal/cndcgs/article/1201/file/pdf
21,중요,지식관리·조직기억,공식문서,Joint Chiefs of Staff. (2018). Knowledge and Information Management Focus Paper.,군 조직에서 KMO(지식관리장교) 역할과 정보·지식 흐름 개선의 중요성을 직접 제시. 군 조직 설계 논거로 강함.,정책제안 / 군 적용 조직설계,https://www.jcs.mil/Portals/36/Documents/Doctrine/fp/knowledge_and_info_fp.pdf?ver=2018-05-17-102808-507
22,보조,지식관리·조직기억,논문,"Murnieks, C. Y., Allen, S. T., & Ferrante, C. J. (2011). Combating the effects of turnover: Military lessons learned from project teams rebuilding Iraq. Business Horizons, 54(5), 481–491.",군 조직의 순환·교대와 지식 손실 문제를 구체 사례로 다룸. 오래된 문헌이지만 메시지가 선명함.,사례분석 / 군 조직 특수성,https://www.sciencedirect.com/science/article/abs/pii/S0007681311000656
23,보조,지식관리·조직기억,보고서,"Peschl, M. F., et al. (2025). What does knowledge management in public administrations look like in practice?",실제 공공행정에서 KM가 어떻게 운영되는지 사례적으로 보여주는 실천 보고서. 정책대안 현실화에 도움.,정책제안 / 운영모형,https://epsa.whu.edu/cms/wp-content/uploads/2025/06/24-0101_Peschl-etal_What-does-knowledge-management-in-public-administrations-look-like-in-practice-.pdf
24,핵심,법률 AI·RAG,논문,"Pipitone, N., & Houir Alami, G. (2024). LegalBench-RAG: A Benchmark for Retrieval-Augmented Generation in Legal Question Answering.",법률 QA에서 retrieval 단계의 중요성과 평가기준을 제시. 본 연구의 성능평가 설계에 유용.,방법론 / RAG 평가,https://arxiv.org/abs/2408.10343
25,중요,법률 AI·RAG,논문,"Wiratunga, N., et al. (2024). CBR-RAG: Case-Based Reasoning for Retrieval Augmented Generation in LLMs for Legal Question Answering.",법률 문답에서 유사사례 기반 RAG 접근을 보여줌. 향후 D(개정안 작성지원) 확장 논리와 연결 가능.,향후과제 / 고도화 방향,https://arxiv.org/abs/2406.17780
26,핵심,법률 AI·RAG,논문,"Seo, K., & Utsuro, T. (2025). RAG based Question Answering of Korean Laws and Precedents. In Proceedings of the Eighth FEVER Workshop, 91–100.",한국 법령·판례를 대상으로 한 RAG QA 연구. 국내 법률 텍스트를 다루는 직접 근거로 매우 중요.,선행연구 / 한국 법률 RAG,https://aclanthology.org/2025.fever-1.7/
27,핵심,법률 AI·RAG,논문,"Kim, J., Jeon, H., Heo, D., Lee, J., & Suh, B. (2025). LegisFlow: Enhancing Korean Legal Research with Temporal-Aware LLM Interfaces. UIST 2025.",한국 법률연구에서 시간축(연혁)을 사용자 인터페이스 차원에서 다룬 최신 연구. 본 논문 주제와 매우 밀접.,시스템설계 / 시간축 인터페이스,https://dl.acm.org/doi/10.1145/3746059.3747752
28,중요,법률 AI·RAG,논문,"Seo, J., Jung, D., Lee, J., Chun, Y., Kim, D., et al. (2025). KoLEG: On-the-Fly Korean Legal Knowledge Editing with Continuous Retrieval. Findings of ACL: EMNLP 2025.",한국 법률 지식의 연속적 개정 반영을 retrieval 기반으로 다룸. ‘법이 바뀌면 시스템도 같이 바뀌어야 한다’는 논리 보강.,시스템설계 / 지속 업데이트,https://github.com/ekgus9/KoLEG
29,중요,법률 AI·RAG,논문,"de Martim, H. (2025). An Ontology-Driven Graph RAG for Legal Norms: A Structural, Temporal, and Deterministic Approach.",법규의 계층·시간·행위 구조를 반영하는 그래프 기반 RAG를 제시. 단순 벡터검색의 한계 비판에 적합.,시스템설계 / 향후 고도화,https://arxiv.org/abs/2505.00039
30,핵심,정책·국제기구,보고서,OECD. (2025). Governing with Artificial Intelligence: The State of Play and Way Forward in Core Government Functions.,정부 핵심기능에서 AI가 생산성·서비스·의사결정에 미치는 영향을 종합적으로 정리. 국제정책 배경의 핵심 문헌.,정책배경 / 국제동향,https://www.oecd.org/en/publications/governing-with-artificial-intelligence_795de142-en.html
31,핵심,정책·국제기구,보고서,OECD. (2026). Building an AI-ready public workforce.,공공조직 내 AI 역량·내재화·책임성 확보를 다룸. 공무원/간부 활용역량과 조직 역량 구축 논리에 적합.,정책제안 / 인력·역량,https://www.oecd.org/en/publications/building-an-ai-ready-public-workforce_b89244c7-en.html
32,중요,정책·국제기구,보고서,OECD. (2025). Digital Government Review of Korea.,한국 디지털정부와 AI 활용 사례를 국제적 시각에서 정리. 한국 정책 맥락 정당화에 유리.,정책배경 / 한국 디지털정부,https://www.oecd.org/en/publications/digital-government-review-of-korea_9defc197-en/full-report/assessment-and-recommendations_cf4945e3.html
33,중요,정책·국제기구,공식문서,대한민국 법률. (2026). 인공지능 발전과 신뢰 기반 조성 등에 관한 기본법 [시행 2026.1.22.].,한국 AI 활성화·안전·신뢰 정책의 제도적 기반. 법규 자체 분석보다는 정책 환경 설명용으로 사용.,정책배경 / 제도환경,https://www.law.go.kr/법령/인공지능발전과신뢰기반조성등에관한기본법
34,중요,정책·국제기구,공식문서,과학기술정보통신부. (2025). 인공지능 산업 발전과 안전·신뢰 기반 조성을 위한 「인공지능 기본법 시행령」 제정안 입법예고.,AI 기본법 시행을 둘러싼 실제 제도화 과정을 보여줌. 최근성 확보용.,정책배경 / 최근 정부 시책,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156727787
35,중요,정책·국제기구,정책문서,한국지능정보원(NIA). (2025). 『대한민국 인공지능 행동계획』(안).,정부의 AI 확산 방향과 인프라·인재·활용 전략을 종합적으로 보여줌.,정책배경 / 국가 AI 전략,https://nia.or.kr/common/board/Download.do?bcIdx=28937&cbIdx=99952&fileNo=1
36,핵심,정책·국제기구,가이드라인,한국지능정보원(NIA). (2024). 공공부문 초거대 AI 도입·활용 가이드라인.,공공부문에서 생성형 AI를 어떻게 도입·활용할지 직접 다룬 한국형 가이드. 설계 원칙에 매우 유용.,시스템설계 / 공공부문 구현원칙,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?bcIdx=26677&cbIdx=99852&parentSeq=26677
37,중요,정책·국제기구,보고서,한국지능정보원(NIA). (2025). AI 활용 정부 서비스의 사례와 유형 분석.,정부 서비스에서 AI 활용 사례를 유형화. MVP의 활용 시나리오와 확장 논거 구성에 유리.,사례분석 / 공공부문 AI 사례,https://www.nia.or.kr/common/board/Download.do?bcIdx=28633&cbIdx=65684&fileNo=2
38,보조,정책·국제기구,보고서,한국지능정보원(NIA). (2025). 지속가능한 공공 파운데이션 모델 구축 및 활용 방안 연구.,공공 파운데이션 모델과 공공영역 AI 인프라 논의를 다룸. 향후 군 내부 폐쇄망 확대 논의에 적합.,향후과제 / 공공 AI 인프라,https://nia.or.kr/common/board/Download.do?bcIdx=28168&cbIdx=82618&fileNo=1
39,핵심,정책·국제기구,가이드라인,인사혁신처. (2025). 인공지능(AI) 업무활용 가이드.,실제 공무원이 AI를 업무에 활용하는 프롬프트와 사례를 제공. 본 연구의 실무적 필요성 뒷받침.,문제분석 / 공무원 업무변화,https://www.mpm.go.kr/mpm/comm/pblcateList/?boardId=bbs_0000000000000036&category=&cntId=920&mode=view&pageIdx=
40,중요,정책·국제기구,보도자료,인사혁신처. (2025.3.20). 공직사회의 AI 활용역량을 높이기 위한 ‘인공지능(AI) 업무활용 가이드’ 발간.,공직 내부 TF가 법령·지침·Q&A 데이터 학습을 통해 복잡한 인사 규정 확인 업무 효율을 높였다는 실제 사례를 제공.,문제분석 / 실무 사례,https://www.mpm.go.kr/mpm/comm/newsPress/newsPressRelease/?boardId=bbs_0000000000000029&category=&cntId=4032&mode=view&pageIdx=
41,핵심,정책·국제기구,보도자료,행정안전부. (2025.11.24). 범정부 AI 공통기반 서비스 개시.,정부 내부망에서 보안 우려 없이 AI를 활용하는 공통기반 사례. 군 내부망 확장 논의에 직접 유의미.,정책제안 / 도입 여건,https://www.mois.go.kr/frt/bbs/type010/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000008&nttId=121943
42,중요,정책·국제기구,업무계획,행정안전부. (2025). 주요업무 추진계획.,범정부 AI 공통기반과 지능형 업무관리 플랫폼 확산 계획을 보여줌. 정책 연계성 설명에 유용.,정책배경 / 정부 추진방향,https://www.mois.go.kr/cmm/fms/FileDown.do?atchFileId=FILE_0014136882EEs89&fileSn=1
43,중요,정책·국제기구,정책뉴스,행정안전부. (2025.9.24). 2030년까지 공공분야 AI 전문가 2만 명 양성.,공공부문 AI 내재화의 인력전략을 보여줌. 군 행정 AI 역량화 논거에 유리.,정책제안 / 인력양성,https://www.korea.kr/news/policyNewsView.do?newsId=148949910
44,중요,정책·국제기구,가이드라인,개인정보보호위원회. (2025). 생성형 인공지능(AI) 개발·활용을 위한 개인정보 처리 안내서.,생성형 AI 수명주기 전반의 개인정보 처리 기준을 제시. 군 행정 활용 시 위험통제 설계에 중요.,한계와 통제 / 개인정보,https://www.privacy.go.kr/front/bbs/bbsView.do?bbsNo=BBSMSTR_000000000049&bbscttNo=20836
45,보조,정책·국제기구,가이드라인,개인정보보호위원회. (2025). 개인정보 영향평가 수행안내서(2025.10 개정).,공공기관 AI 도입 시 영향평가 기준 반영에 도움. 향후 제도화 로드맵에 활용 가능.,정책제안 / 안전성·평가,https://www.privacy.go.kr/front/bbs/bbsView.do?bbsNo=BBSMSTR_000000000049&bbscttNo=20848
46,보조,정책·국제기구,정책보고서,김병우. (2025). 한국 AI 정책 현황 및 발전 방안: OECD AI 원칙을 중심으로. KISDI Perspectives.,한국 AI 정책의 최근 흐름을 정리. 국내 정책 맥락 서술에 보강용으로 적합.,정책배경 / 국내 AI 정책,https://library.kisdi.re.kr/main.do/10220/contents/4334696?articleId=1875076&checkinId=3710552
47,중요,구현·에이전트 코딩,공식문서,OpenAI. (2025). Introducing Codex.,코덱스를 활용한 에이전트형 개발의 개요. 구현 패키지의 도구 정당화에 사용 가능.,구현방법 / 개발도구,https://openai.com/index/introducing-codex/
48,중요,구현·에이전트 코딩,공식블로그,OpenAI. (2026). Using skills to accelerate OSS maintenance.,리포지토리 로컬 스킬과 AGENTS.md를 활용한 반복작업 자동화 사례. 코덱스 스킬 설계 근거로 적합.,구현방법 / Codex 스킬,https://developers.openai.com/blog/skills-agents-sdk/
49,중요,구현·에이전트 코딩,공식문서,OpenAI. (2026). Skills in OpenAI API.,SKILL.md 구조와 스킬 번들 개념을 설명. 실제 프로젝트 폴더 설계에 직접 필요.,구현방법 / 프로젝트 구조,https://developers.openai.com/cookbook/examples/skills_in_api/
50,보조,구현·에이전트 코딩,실무자료,Google Cloud. (2026). Vibe Coding Explained: Tools and Guides.,바이브 코딩 개념을 설명하는 실무자료. 본문보다는 부록/개발환경 설명에 적합.,부록 / 개발방법론,https://cloud.google.com/transform/vibe-coding-explained
51,중요,구현·에이전트 코딩,공식문서,Google AI for Developers. (2026). Gemini API quickstart.,Gemini API 무료 키 발급과 google-genai SDK 사용 시작점. MVP 실행 문서의 핵심.,구현방법 / LLM 연동,https://ai.google.dev/gemini-api/docs/quickstart
52,중요,구현·에이전트 코딩,공식문서,Google AI for Developers. (2026). Migrate to the Google GenAI SDK.,레거시 라이브러리 대신 최신 google-genai SDK 사용을 권고. 패키지 최신화 근거.,구현방법 / SDK 선택,https://ai.google.dev/gemini-api/docs/migrate
53,중요,구현·에이전트 코딩,공식문서,Google AI for Developers. (2026). Generating content / Text generation / API key docs.,Gemini generate_content 호출 구조와 API key 설정의 공식 기준.,구현방법 / API 호출 예시,https://ai.google.dev/api/generate-content
54,중요,구현·에이전트 코딩,공식문서,"Chroma. (2026). PersistentClient, Metadata Filtering, Query and Get docs.",로컬 persist DB와 메타데이터 필터링 구현의 공식 근거.,구현방법 / 벡터DB,https://docs.trychroma.com/reference/python/client
55,중요,구현·에이전트 코딩,공식문서,법제처 국가법령정보 공동활용. (2026). OPEN API 활용가이드.,"현행법령, 연혁, 신구법, 행정규칙 신구법 등 데이터 파이프라인 설계의 공식 기준.",구현방법 / 데이터 수집,https://open.law.go.kr/LSO/openApi/guideList.do
